"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 27 16:29:22 GMT 2024","Tue Feb 27 16:29:22 GMT 2024","356","chromium","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","POST: register a user",""
"passed","Tue Feb 27 16:29:21 GMT 2024","Tue Feb 27 16:29:22 GMT 2024","200","chromium","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","GET: set of Users",""
"passed","Tue Feb 27 16:30:44 GMT 2024","Tue Feb 27 16:30:44 GMT 2024","360","webkit","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","PUT: update a specific user",""
"passed","Tue Feb 27 16:30:01 GMT 2024","Tue Feb 27 16:30:02 GMT 2024","805","firefox","todoApi.spec.ts","QA CART Create to do via API","","","TS01 _Able to register using API",""
"passed","Tue Feb 27 16:30:11 GMT 2024","Tue Feb 27 16:30:15 GMT 2024","3600","firefox","todo.spec.ts","Create & Delete To do SUITE","","","TS03 _Able to delete to do",""
"passed","Tue Feb 27 16:29:22 GMT 2024","Tue Feb 27 16:29:23 GMT 2024","342","chromium","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","DELETE: delete a user",""
"passed","Tue Feb 27 16:29:34 GMT 2024","Tue Feb 27 16:29:58 GMT 2024","24436","firefox","letItCode.spec.ts","","","","Handling Iframes",""
"passed","Tue Feb 27 16:29:30 GMT 2024","Tue Feb 27 16:29:55 GMT 2024","24243","firefox","letItCode.spec.ts","","","","Forms Test Using User facing locattors",""
"passed","Tue Feb 27 16:30:19 GMT 2024","Tue Feb 27 16:30:56 GMT 2024","36704","webkit","letItCode.spec.ts","","","","Handling multiple tabs",""
"passed","Tue Feb 27 16:29:27 GMT 2024","Tue Feb 27 16:29:28 GMT 2024","632","chromium","todoApi.spec.ts","QA CART Create to do via API","","","TS01 _Able to register using API",""
"passed","Tue Feb 27 16:30:05 GMT 2024","Tue Feb 27 16:30:11 GMT 2024","6243","firefox","todo.spec.ts","Create & Delete To do SUITE","","","TS02 _Able to create todo on the list",""
"passed","Tue Feb 27 16:30:56 GMT 2024","Tue Feb 27 16:30:57 GMT 2024","825","webkit","todoApi.spec.ts","QA CART Create to do via API","","","TS01 _Able to register using API",""
"passed","Tue Feb 27 16:29:58 GMT 2024","Tue Feb 27 16:30:05 GMT 2024","6705","firefox","todo.spec.ts","Create & Delete To do SUITE","","","TS01 _Register User",""
"passed","Tue Feb 27 16:31:04 GMT 2024","Tue Feb 27 16:31:08 GMT 2024","4284","webkit","todo.spec.ts","Create & Delete To do SUITE","","","TS02 _Able to create todo on the list",""
"passed","Tue Feb 27 16:30:01 GMT 2024","Tue Feb 27 16:30:10 GMT 2024","8324","firefox","swagLabs.spec.ts","Swag Labs Suite","","","Oder product in the Application",""
"passed","Tue Feb 27 16:29:32 GMT 2024","Tue Feb 27 16:29:46 GMT 2024","14270","firefox","letItCode.spec.ts","","","","Alerts Test",""
"passed","Tue Feb 27 16:29:55 GMT 2024","Tue Feb 27 16:29:55 GMT 2024","711","firefox","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","GET: set of Users",""
"passed","Tue Feb 27 16:29:11 GMT 2024","Tue Feb 27 16:29:18 GMT 2024","6860","chromium","letItCode.spec.ts","","","","Alerts Test",""
"passed","Tue Feb 27 16:29:29 GMT 2024","Tue Feb 27 16:29:31 GMT 2024","2283","chromium","todo.spec.ts","Create & Delete To do SUITE","","","TS03 _Able to delete to do",""
"passed","Tue Feb 27 16:30:21 GMT 2024","Tue Feb 27 16:30:43 GMT 2024","22283","webkit","letItCode.spec.ts","","","","Handling Iframes",""
"passed","Tue Feb 27 16:30:15 GMT 2024","Tue Feb 27 16:30:53 GMT 2024","37977","webkit","letItCode.spec.ts","","","","Forms Test Using User facing locattors",""
"passed","Tue Feb 27 16:29:28 GMT 2024","Tue Feb 27 16:29:29 GMT 2024","1031","chromium","swagLabs.spec.ts","Swag Labs Suite","","","Visual Test Usign playwright screenshot",""
